,age,amount,approved,citizen,income_class,marital,no_depend,region,sex,state
0,40,1500.0,1,1,0,1,4,3,1,1
1,32,1400.0,1,1,0,1,3,2,0,1
2,100,12000.0,1,0,2,0,0,1,1,0
3,94,3600.0,1,1,3,0,1,0,0,0
4,1,0.0,0,0,0,1,4,4,0,0
5,60,9300.0,1,0,2,0,3,3,1,1
6,34,9500.0,1,0,3,0,1,0,0,1
7,63,12500.0,1,0,2,1,2,2,1,0
8,89,1500.0,1,1,0,1,4,2,1,1
9,89,0.0,0,1,1,1,3,5,0,1
10,74,9200.0,1,0,2,1,2,4,0,1
11,10,0.0,0,1,1,1,3,4,1,0
12,25,3900.0,1,1,3,0,3,1,1,0
13,23,1500.0,1,1,0,0,3,1,1,1
14,63,3700.0,1,1,3,0,0,1,1,1
15,65,6800.0,1,0,0,0,4,2,0,1
16,45,1200.0,1,1,0,0,1,2,0,1
17,59,0.0,0,0,2,1,2,6,1,0
18,38,2200.0,1,1,1,1,1,2,0,0
19,53,0.0,0,1,1,0,1,6,1,0
20,52,0.0,0,1,0,0,1,5,1,1
21,29,3800.0,1,1,3,0,3,2,0,0
22,64,7000.0,1,0,0,1,0,3,0,1
23,35,10800.0,1,0,3,1,1,0,1,1
24,5,0.0,0,1,0,0,3,5,0,1
25,74,0.0,0,0,1,1,2,5,1,1
26,24,9200.0,1,0,2,1,1,3,0,1
27,73,12900.0,1,0,3,0,2,2,0,0
28,1,0.0,0,0,0,0,4,1,1,0
29,71,4000.0,1,1,3,0,4,2,1,0
30,99,0.0,0,0,0,0,2,5,1,1
31,48,10500.0,1,0,1,0,0,1,1,0
32,15,0.0,0,1,2,0,2,3,0,1
33,65,7500.0,1,0,0,1,2,2,1,1
34,96,2900.0,1,1,2,0,2,4,1,1
35,1,0.0,0,1,0,1,4,4,0,0
36,16,0.0,0,0,2,1,0,0,0,0
37,98,0.0,0,1,2,1,0,5,0,1
38,57,10300.0,1,0,3,1,3,0,0,1
39,80,11900.0,1,0,2,0,2,0,1,0
40,73,3800.0,1,1,3,1,1,2,0,1
41,100,12500.0,1,0,2,1,4,1,1,0
42,34,0.0,0,0,3,0,3,6,0,1
43,71,9900.0,1,0,3,0,3,2,0,1
44,37,0.0,0,0,0,0,1,5,0,1
45,98,17300.0,1,0,3,0,4,4,0,0
46,51,18000.0,1,0,3,1,2,4,1,0
47,76,1500.0,1,1,0,1,0,1,1,0
48,80,7500.000000000001,1,0,1,0,2,0,0,1
49,16,0.0,0,1,0,1,2,5,0,0
50,82,1200.0,1,1,0,0,2,4,0,0
51,20,7000.0,1,0,0,0,0,1,1,1
52,48,15500.0,1,0,2,1,4,3,0,0
53,10,0.0,0,1,2,1,0,4,1,1
54,7,0.0,0,0,2,0,0,2,1,0
55,32,11800.0,1,0,2,0,4,0,0,0
56,9,0.0,0,0,2,0,2,2,0,1
57,29,6500.0,1,0,0,0,0,4,0,1
58,33,10600.0,1,0,3,0,4,1,1,1
59,25,3100.0,1,1,2,0,4,2,0,0
60,69,3200.0,1,1,2,0,4,3,1,0
61,90,2000.0,1,1,1,0,0,2,0,0
62,25,17500.0,1,0,3,1,0,4,0,0
63,36,11100.0,1,0,0,0,3,4,0,0
64,51,10400.0,1,0,3,0,3,3,1,1
65,78,9700.0,1,0,3,0,2,3,0,1
66,49,11200.0,1,0,0,0,1,4,1,0
67,90,14000.0,1,0,3,1,3,0,1,0
68,16,0.0,0,1,2,0,2,4,0,0
69,19,3600.0,1,1,3,0,2,1,0,0
70,74,9300.0,1,0,2,0,3,0,1,1
71,49,10800.0,1,0,3,1,4,2,1,1
72,5,0.0,0,0,3,1,2,0,0,0
73,5,0.0,0,0,3,1,0,3,1,1
74,59,0.0,0,1,2,0,1,6,0,0
75,12,0.0,0,0,2,1,2,0,1,0
76,82,0.0,0,1,0,0,2,5,1,0
77,80,3700.0,1,1,3,0,2,3,1,0
78,21,0.0,0,0,0,1,0,6,1,0
79,5,0.0,0,0,1,1,1,3,1,0
80,92,8600.0,1,0,1,1,2,2,1,1
81,27,1200.0,1,1,0,0,0,0,0,0
82,53,0.0,0,0,3,0,0,6,0,0
83,38,2000.0,1,1,1,0,0,3,0,0
84,17,0.0,0,0,2,1,4,1,1,0
85,69,3200.0,1,1,2,0,4,0,1,0
86,97,3100.0,1,1,2,1,2,4,1,0
